# TestSimulation (Up to date)
# 636 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
13.416,292.197,292.197,-4.191,4.68,0.002,0.356,20.103,0.009,20.103,89.975,2.082,0.356,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.235,90,13.101,978.98,0.001,339.238,0.012,1.179e5,2.5,4.909,0.214,0.311,6.166e-4
13.63,291.3,291.3,-4.191,4.714,-1.011e-4,0.328,19.649,0.009,19.649,89.974,2.158,0.328,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.299,90,13.107,979.085,0.001,339.241,0.012,1.179e5,2.5,4.909,0.214,0.311,6.221e-4
13.844,290.403,290.403,-4.191,4.746,-0.002,0.243,19.18,0.009,19.18,89.974,2.229,0.243,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.125,90,13.112,979.191,0.001,339.245,0.012,1.179e5,2.5,4.909,0.214,0.311,6.273e-4
14.058,289.505,289.505,-4.191,4.722,-0.002,0.042,18.708,0.009,18.708,89.973,2.177,0.042,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.159,90,13.118,979.296,0.001,339.249,0.012,1.179e5,2.5,4.909,0.214,0.311,6.234e-4
14.272,288.608,288.608,-4.191,4.719,7.957e-4,0.027,18.243,0.009,18.243,89.973,2.167,0.027,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.156,90,13.124,979.401,0.001,339.252,0.012,1.179e5,2.5,4.909,0.214,0.311,6.228e-4
14.486,287.711,287.711,-4.191,4.716,0.005,0.274,17.78,0.009,17.78,89.972,2.162,0.274,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.279,90,13.13,979.506,0.001,339.256,0.012,1.179e5,2.5,4.909,0.214,0.311,6.224e-4
14.7,286.814,286.814,-4.19,4.742,-0.002,0.099,17.311,0.009,17.311,89.971,2.22,0.099,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.263,90,13.136,979.611,0.001,339.259,0.012,1.179e5,2.5,4.909,0.214,0.311,6.266e-4
14.914,285.917,285.917,-4.191,4.752,0.009,0.405,16.833,0.009,16.833,89.97,2.241,0.405,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.593,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.415,90,13.142,979.717,0.001,339.263,0.012,1.18e5,2.5,4.909,0.214,0.311,6.283e-4
15.128,285.021,285.021,-4.189,4.792,-0.007,0.069,16.344,0.009,16.344,89.97,2.328,0.069,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.299,90,13.147,979.822,0.001,339.266,0.012,1.178e5,2.5,4.909,0.214,0.311,6.348e-4
15.343,284.124,284.124,-4.19,4.787,0.002,0.173,15.848,0.009,15.848,89.969,2.313,0.173,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,90,13.153,979.927,0.001,339.27,0.012,1.179e5,2.5,4.909,0.214,0.312,6.338e-4
15.557,283.227,283.227,-4.19,4.768,-6.339e-4,0.029,15.357,0.009,15.357,89.968,2.276,0.029,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.264,90,13.159,980.032,0.001,339.273,0.012,1.179e5,2.5,4.909,0.214,0.312,6.309e-4
15.771,282.33,282.33,-4.19,4.766,0.029,0.753,14.87,0.009,14.87,89.967,2.27,0.752,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.595,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.949,90,13.165,980.137,0.001,339.277,0.012,1.183e5,2.5,4.909,0.214,0.312,6.304e-4
15.984,281.435,281.435,-4.184,4.685,0.009,0.853,14.402,0.009,14.402,89.966,2.109,0.853,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.595,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.745,90,13.171,980.242,0.001,339.28,0.012,1.182e5,2.5,4.909,0.214,0.312,6.177e-4
16.199,280.538,280.538,-4.182,4.604,-0.027,0.425,13.969,0.009,13.969,89.965,1.926,0.425,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.591,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.745,90,13.177,980.348,0.001,339.284,0.012,1.178e5,2.5,4.909,0.214,0.312,6.047e-4
16.413,279.641,279.641,-4.188,4.572,-0.004,0.302,13.566,0.009,13.566,89.964,1.835,0.302,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.965,90,13.182,980.453,0.001,339.287,0.012,1.179e5,2.5,4.909,0.214,0.312,5.993e-4
16.627,278.745,278.745,-4.188,4.599,-0.003,0.132,13.166,0.009,13.166,89.963,1.9,0.132,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.844,90,13.188,980.558,0.001,339.291,0.012,1.179e5,2.5,4.909,0.214,0.312,6.036e-4
16.841,277.849,277.849,-4.189,4.588,0.016,0.562,12.763,0.009,12.763,89.962,1.872,0.561,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.594,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.632,90,13.194,980.663,0.001,339.294,0.012,1.181e5,2.5,4.909,0.214,0.312,6.018e-4
17.055,276.953,276.953,-4.186,4.537,-0.015,0.017,12.375,0.009,12.375,89.96,1.752,0.007,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.591,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.755,90,13.2,980.768,0.001,339.298,0.012,1.178e5,2.5,4.909,0.214,0.312,5.937e-4
17.269,276.057,276.057,-4.189,4.541,0.025,0.691,12,0.009,12,89.959,1.753,0.691,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.595,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.048,90,13.206,980.873,0.001,339.302,0.012,1.182e5,2.5,4.909,0.214,0.312,5.942e-4
17.483,275.161,275.161,-4.184,4.595,-0.017,0.352,11.609,0.009,11.609,89.958,1.901,0.352,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.591,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.751,90,13.211,980.978,0.001,339.305,0.012,1.179e5,2.5,4.909,0.214,0.313,6.031e-4
17.697,274.265,274.265,-4.187,4.568,-0.004,0.154,11.21,0.009,11.21,89.956,1.826,0.154,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.892,90,13.217,981.083,0.001,339.309,0.012,1.179e5,2.5,4.909,0.214,0.313,5.986e-4
17.911,273.369,273.369,-4.188,4.582,0.026,0.725,10.816,0.009,10.816,89.955,1.859,0.724,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.595,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90,13.223,981.188,0.001,339.312,0.012,1.183e5,2.5,4.909,0.214,0.313,6.008e-4
18.125,272.474,272.474,-4.182,4.642,-0.026,0.049,10.402,0.008,10.402,89.953,2.013,0.041,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.59,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.996,90,13.229,981.293,0.001,339.316,0.012,1.178e5,2.5,4.909,0.214,0.313,6.107e-4
18.339,271.578,271.578,-4.188,4.643,9.758e-4,0.063,9.972,0.008,9.972,89.951,2.005,0.063,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.978,90,13.235,981.398,0.001,339.319,0.012,1.179e5,2.5,4.909,0.214,0.313,6.107e-4
18.553,270.682,270.682,-4.188,4.637,0.011,0.457,9.545,0.008,9.545,89.949,1.991,0.457,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.593,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.187,90,13.241,981.504,0.001,339.323,0.012,1.181e5,2.5,4.909,0.214,0.313,6.098e-4
18.767,269.787,269.787,-4.185,4.678,-0.01,0.017,9.108,0.008,9.108,89.947,2.089,0.014,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.591,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.095,90,13.246,981.609,0.001,339.326,0.012,1.179e5,2.5,4.909,0.214,0.313,6.164e-4
18.981,268.891,268.891,-4.187,4.681,0.001,0.078,8.661,0.008,8.661,89.944,2.092,0.078,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.059,90,13.252,981.714,0.001,339.33,0.012,1.18e5,2.5,4.909,0.214,0.313,6.169e-4
19.195,267.996,267.996,-4.187,4.673,0.004,0.273,8.216,0.008,8.216,89.941,2.075,0.273,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.192,90,13.258,981.819,0.001,339.333,0.012,1.18e5,2.5,4.909,0.214,0.313,6.156e-4
19.408,267.101,267.101,-4.186,4.699,4.662e-4,0.258,7.766,0.008,7.766,89.938,2.133,0.258,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.244,90,13.264,981.924,0.001,339.337,0.012,1.18e5,2.5,4.909,0.214,0.314,6.198e-4
19.622,266.205,266.205,-4.186,4.724,-0.002,0.109,7.304,0.008,7.304,89.934,2.189,0.109,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.142,90,13.27,982.029,0.001,339.34,0.012,1.18e5,2.5,4.909,0.214,0.314,6.238e-4
19.836,265.31,265.31,-4.187,4.713,0.002,0.177,6.838,0.008,6.838,89.93,2.165,0.177,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.241,90,13.275,982.134,0.001,339.344,0.012,1.18e5,2.5,4.909,0.214,0.314,6.221e-4
20.05,264.415,264.415,-4.186,4.731,0.011,0.489,6.371,0.008,6.371,89.925,2.203,0.489,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.593,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.995,90,13.281,982.239,0.001,339.347,0.012,1.181e5,2.5,4.909,0.214,0.314,6.249e-4
20.264,263.521,263.521,-4.184,4.681,-0.011,0.11,5.911,0.008,5.911,89.919,2.099,0.11,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.591,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052,90,13.287,982.343,0.001,339.351,0.012,1.179e5,2.5,4.909,0.214,0.314,6.169e-4
20.478,262.626,262.626,-4.186,4.672,2.478e-4,0.017,5.465,0.008,5.465,89.912,2.075,0.017,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.068,90,13.293,982.448,0.001,339.354,0.012,1.18e5,2.5,4.909,0.214,0.314,6.155e-4
20.691,261.731,261.731,-4.186,4.67,9.067e-4,0.039,5.022,0.008,5.022,89.905,2.072,0.039,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.055,90,13.299,982.553,0.001,339.358,0.012,1.18e5,2.5,4.909,0.214,0.314,6.152e-4
20.905,260.836,260.836,-4.186,4.667,0.033,0.804,4.58,0.008,4.58,89.896,2.063,0.803,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.596,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.721,90,13.305,982.658,0.001,339.361,0.012,1.184e5,2.5,4.909,0.214,0.314,6.146e-4
21.119,259.942,259.942,-4.179,4.587,-0.027,0.303,4.157,0.008,4.157,89.885,1.891,0.302,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.591,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.762,90,13.31,982.763,0.001,339.365,0.012,1.178e5,2.5,4.909,0.214,0.314,6.019e-4
21.333,259.047,259.047,-4.184,4.566,-9.076e-4,0.237,3.759,0.008,3.759,89.874,1.827,0.237,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.928,90,13.316,982.868,0.001,339.369,0.012,1.18e5,2.5,4.909,0.214,0.315,5.983e-4
21.547,258.152,258.152,-4.185,4.587,0.005,0.358,3.363,0.008,3.363,89.859,1.878,0.358,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.593,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.031,90,13.322,982.973,0.001,339.372,0.012,1.181e5,2.5,4.909,0.214,0.315,6.017e-4
21.76,257.258,257.258,-4.184,4.617,-0.005,0.134,2.954,0.008,2.954,89.839,1.954,0.134,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.011,90,13.328,983.078,0.001,339.376,0.012,1.18e5,2.5,4.909,0.214,0.315,6.067e-4
21.974,256.364,256.364,-4.185,4.631,0.005,0.322,2.533,0.008,2.533,89.813,1.983,0.322,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.593,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.12,90,13.334,983.183,0.001,339.379,0.012,1.181e5,2.5,4.909,0.214,0.315,6.088e-4
22.188,255.469,255.469,-4.184,4.659,-0.004,0.074,2.102,0.008,2.102,89.775,2.051,0.074,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.083,90,13.339,983.288,0.001,339.383,0.012,1.18e5,2.5,4.909,0.214,0.315,6.135e-4
22.402,254.575,254.575,-4.184,4.667,0.017,0.566,1.662,0.008,1.662,89.716,2.067,0.566,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.594,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.309,90,13.345,983.393,0.001,339.386,0.012,1.182e5,2.5,4.909,0.214,0.315,6.148e-4
22.615,253.681,253.681,-4.181,4.719,-0.01,0.33,1.207,0.008,1.207,89.61,2.188,0.33,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.329,90,13.351,983.497,0.001,339.39,0.012,1.18e5,2.5,4.909,0.214,0.315,6.232e-4
22.829,252.787,252.787,-4.183,4.754,-0.003,0.192,0.732,0.008,0.732,89.357,2.259,0.192,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.341,90,13.357,983.602,0.001,339.393,0.012,1.18e5,2.5,4.909,0.214,0.315,6.288e-4
23.043,251.893,251.893,-4.184,4.774,-0.001,0.03,0.245,0.008,0.245,88.081,2.3,0.03,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.287,90,13.363,983.707,0.001,339.397,0.012,1.18e5,2.5,4.909,0.214,0.315,6.32e-4
23.256,250.999,250.999,-4.184,4.771,0.003,0.23,-0.246,0.008,0.246,271.905,2.293,0.23,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.195,90,13.369,983.812,0.001,339.4,0.012,1.181e5,2.5,4.909,0.214,0.315,6.315e-4
23.47,250.106,250.106,-4.183,4.747,-9.344e-4,0.135,-0.731,0.008,0.731,270.641,2.244,0.135,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.186,90,13.374,983.917,0.001,339.404,0.012,1.18e5,2.5,4.909,0.214,0.316,6.277e-4
23.684,249.212,249.212,-4.183,4.734,0.008,0.391,-1.207,0.008,1.207,270.387,2.215,0.391,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.593,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.049,90,13.38,984.022,0.001,339.407,0.012,1.181e5,2.5,4.909,0.214,0.316,6.255e-4
23.897,248.318,248.318,-4.182,4.694,-0.001,0.339,-1.671,0.008,1.671,270.279,2.132,0.339,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.987,90,13.386,984.126,0.001,339.411,0.012,1.181e5,2.5,4.909,0.214,0.316,6.191e-4
24.111,247.425,247.425,-4.182,4.661,-6.744e-4,0.292,-2.119,0.008,2.119,270.22,2.059,0.292,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.935,90,13.392,984.231,0.001,339.414,0.012,1.18e5,2.5,4.909,0.214,0.316,6.139e-4
24.325,246.531,246.531,-4.182,4.634,-0.002,0.167,-2.553,0.008,2.553,270.182,1.997,0.167,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,90,13.398,984.336,0.001,339.418,0.012,1.18e5,2.5,4.909,0.214,0.316,6.095e-4
24.538,245.638,245.638,-4.182,4.65,-5.873e-4,0.002,-2.983,0.008,2.983,270.156,2.033,0.002,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.034,90,13.403,984.441,0.001,339.421,0.012,1.18e5,2.5,4.909,0.214,0.316,6.121e-4
24.752,244.744,244.744,-4.183,4.651,0.001,0.058,-3.417,0.008,3.417,270.136,2.033,0.058,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.008,90,13.409,984.546,0.001,339.425,0.012,1.18e5,2.5,4.909,0.214,0.316,6.121e-4
24.966,243.851,243.851,-4.182,4.645,6.919e-4,0.021,-3.85,0.008,3.85,270.12,2.021,0.021,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.03,90,13.415,984.65,0.001,339.428,0.012,1.18e5,2.5,4.909,0.214,0.316,6.112e-4
25.179,242.958,242.958,-4.182,4.647,8.899e-4,0.038,-4.282,0.008,4.282,270.108,2.025,0.038,28.61,-80.6,NaN,NaN,NaN,NaN,60.884,89.98,60.459,12.3,9.526e-4,9.847e-6,9.791,0,23.959,-9.584,0,0,0.592,115.2,0,115.2,0,115.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.009,90,13.421,984.755,0.001,339.432,0.012,1.18e5,2.5,4.909,0.214,0.316,6.115e-4
